"district",2020,2021,2022,2023,2024
"Tambun Selatan",2687,2479,2429,2290,634
"Babelan",1408,1439,1419,1333,1299
"Cikarang Utara",1117,1090,1061,942,405
"Cikarang Barat",1200,1024,1025,1008,289
"Cibitung",1083,1096,1084,1197,914
"Karang Bahagia",697,690,683,727,2078
"Tambun Utara",877,901,997,972,1136
"Tarumajaya",771,754,756,736,881
"Pebayuran",572,783,696,786,940
"Setu",762,514,640,661,615
"Sukatani",547,548,576,623,493
"Sukakarya",327,662,559,548,389
"Serang Baru",607,563,575,561,574
"Cikarang Timur",551,340,315,292,347
"Cikarang Selatan",505,514,561,603,555
"Kedungwaringin",372,399,415,369,467
"Tambelang",299,235,276,242,278
"Cikarang Pusat",318,282,534,520,869
"Cibarusah",492,497,205,282,619
"Cabangbungin",407,391,581,415,226
"Muaragembong",381,427,274,275,557
"Bojongmangu",156,172,186,161,537
"Sukawangi",285,237,400,358,132
