date,Jumlah,MA,DMA,ES,DES
2020-01,1223,1223,1223,1223,1223
2020-02,1300,1300,1300,1300,1300
2020-03,1257,1257,1257,1257,1257
2020-04,1003,1003,1003,1003,1003
2020-05,179,179,179,179,179
2020-06,1896,1896,1896,1896,1896
2020-07,1042,1042,1042,1042,1042
2020-08,3060,3060,3060,3060,3060
2020-09,1137,1137,1137,1137,1137
2020-10,1244,1244,1244,1244,1244
2020-11,1355,1355,1355,1355,1355
2020-12,1725,1725,1725,1725,1725
2021-01,1276,1276,1276,1276,1276
2021-02,1169,1169,1169,1169,1169
2021-03,1497,1497,1497,1497,1497
2021-04,764,764,764,764,764
2021-05,975,975,975,975,975
2021-06,1184,1184,1184,1184,1184
2021-07,2022,2022,2022,2022,2022
2021-08,2184,2184,2184,2184,2184
2021-09,973,973,973,973,973
2021-10,1192,1192,1192,1192,1192
2021-11,1349,1349,1349,1349,1349
2021-12,1452,1452,1452,1452,1452
2022-01,1116,1116,1116,1116,1116
2022-02,1216,1216,1216,1216,1216
2022-03,1550,1550,1550,1550,1550
2022-04,248,248,248,248,248
2022-05,1692,1692,1692,1692,1692
2022-06,660,660,660,660,660
2022-07,2750,2750,2750,2750,2750
2022-08,1476,1476,1476,1476,1476
2022-09,1219,1219,1219,1219,1219
2022-10,1147,1147,1147,1147,1147
2022-11,1624,1624,1624,1624,1624
2022-12,1549,1549,1549,1549,1549
2023-01,1192,1192,1192,1192,1192
2023-02,1235,1235,1235,1235,1235
2023-03,1134,1134,1134,1134,1134
2023-04,332,332,332,332,332
2023-05,1782,1782,1782,1782,1782
2023-06,870,870,870,870,870
2023-07,2817,2817,2817,2817,2817
2023-08,1268,1268,1268,1268,1268
2023-09,1083,1083,1083,1083,1083
2023-10,1283,1283,1283,1283,1283
2023-11,1367,1367,1367,1367,1367
2023-12,1538,1538,1538,1538,1538
2024-01,1127,1127,1127,1127,1127
2024-02,1050,1050,1050,1050,1050
2024-03,583,583,583,583,583
2024-04,966,966,966,966,966
2024-05,1107,1107,1107,1107,1107
2024-06,2412,2412,2412,2412,2412
2024-07,1342,1342,1342,1342,1342
2024-08,1167,1167,1167,1167,1167
2024-09,1081,1081,1081,1081,1081
2024-10,1382,1382,1382,1382,1382
2024-11,1199,1199,1199,1199,1199
2024-12,1424,1424,1424,1424,1424
2025-01,0,1396,1283.89,1397.72,1310.874
2025-02,0,1396,1283.89,1397.72,1306.985
2025-03,0,1396,1283.89,1397.72,1303.096
2025-04,0,1396,1283.89,1397.72,1299.207
2025-05,0,1396,1283.89,1397.72,1295.319
2025-06,0,1396,1283.89,1397.72,1291.43
2025-07,0,1396,1283.89,1397.72,1287.541
2025-08,0,1396,1283.89,1397.72,1283.652
2025-09,0,1396,1283.89,1397.72,1279.763
2025-10,0,1396,1283.89,1397.72,1275.875
2025-11,0,1396,1283.89,1397.72,1271.986
2025-12,0,1396,1283.89,1397.72,1268.097
